symbol,timestamp,close,future_close,forward_return,true_label,pred_signal,hybrid_score,technical_score,sentiment_score,volatility_index,confidence,reason
ETHUSDT,2025-10-29T05:00:00+00:00,4026.98,3916.62,-0.02740515224808669,SELL,HOLD,-0.1246,-0.4155,0.0,0.0,0.1246,Mixed signals with sentiment and technical indicators showing conflicting trends
ETHUSDT,2025-10-29T06:00:00+00:00,4024.54,3913.41,-0.027613093670332538,SELL,HOLD,0.12,0.4,0.0,0.0,0.12,Mixed signals with sentiment and technical indicators showing conflicting trends
ETHUSDT,2025-10-29T07:00:00+00:00,4025.06,3940.42,-0.02102825796385641,SELL,HOLD,0.12,0.4,0.0,0.0,0.12,Mixed signals with sentiment and technical indicators showing conflicting trends
ETHUSDT,2025-10-29T08:00:00+00:00,4007.66,3921.68,-0.021453915751336195,SELL,HOLD,0.12,0.4,0.0,0.0,0.12,Mixed signals with sentiment and technical indicators showing conflicting trends
ETHUSDT,2025-10-29T09:00:00+00:00,3997.37,3900.19,-0.024310984472290492,SELL,HOLD,0.0514,0.1713,0.0,0.0,0.0514,Neutral sentiment and technical indicators showing balanced market conditions
ETHUSDT,2025-10-29T10:00:00+00:00,3989.07,3892.9,-0.024108376137796546,SELL,HOLD,-0.0559,-0.1863,0.0,0.0,0.0559,Neutral sentiment and technical indicators showing balanced market conditions
ETHUSDT,2025-10-29T11:00:00+00:00,4011.01,3881.1,-0.03238835106369725,SELL,HOLD,-0.0965,-0.3218,0.0,0.0,0.0965,Neutral sentiment and technical indicators showing balanced market conditions
ETHUSDT,2025-10-29T12:00:00+00:00,4016.01,3818.28,-0.04923543517072916,SELL,HOLD,-0.081,-0.27,0.0,0.0,0.081,Neutral sentiment and technical indicators showing balanced market conditions
ETHUSDT,2025-10-29T13:00:00+00:00,3995.17,3766.68,-0.057191558807259825,SELL,HOLD,-0.068,-0.2267,0.0,0.0,0.068,Neutral sentiment and technical indicators showing balanced market conditions
ETHUSDT,2025-10-29T14:00:00+00:00,3988.57,3801.36,-0.04693662139563804,SELL,HOLD,-0.067,-0.2233,0.0,0.0,0.067,Neutral sentiment and technical indicators showing balanced market conditions
ETHUSDT,2025-10-29T15:00:00+00:00,3951.71,3773.69,-0.04504885226901771,SELL,HOLD,0.0322,0.1073,0.0,0.0,0.0322,Neutral sentiment and technical indicators showing balanced market conditions
ETHUSDT,2025-10-29T16:00:00+00:00,3962.21,3780.86,-0.04576991123640592,SELL,HOLD,-0.1228,-0.4094,0.0,0.0,0.1228,Mixed signals with sentiment and technical indicators showing conflicting trends
